"id","name","fifa_code","confederation","is_playable","fifa_rank","strength_tier","overall_rating","shooting_rating","reaction_rating"
"1","Argentina","ARG","CONMEBOL","true","1","1","92","92","90"
"2","Spain","ESP","UEFA","true","2","1","92","92","90"
"3","France","FRA","UEFA","true","3","1","92","92","90"
"4","England","ENG","UEFA","true","4","1","92","91","90"
"5","Portugal","POR","UEFA","true","5","1","91","91","89"
"6","Brazil","BRA","CONMEBOL","true","6","1","91","91","89"
"7","Morocco","MAR","CAF","true","7","1","91","91","89"
"8","Netherlands","NED","UEFA","true","8","1","91","91","89"
"9","Belgium","BEL","UEFA","true","9","1","91","91","89"
"10","Germany","GER","UEFA","true","10","1","91","90","88"
"11","Croatia","CRO","UEFA","true","11","1","90","90","88"
"12","Italy","ITA","UEFA","true","12","1","90","90","88"
"13","Colombia","COL","CONMEBOL","true","13","1","90","90","88"
"14","Mexico","MEX","CONCACAF","true","14","1","90","90","88"
"15","Senegal","SEN","CAF","true","15","1","90","90","88"
"16","Uruguay","URU","CONMEBOL","true","16","1","90","89","88"
"17","USA","USA","CONCACAF","true","17","1","89","89","87"
"18","Japan","JPN","AFC","true","18","1","89","89","87"
"19","Switzerland","SUI","UEFA","true","19","1","89","89","87"
"20","IR Iran","IRN","AFC","true","20","1","89","89","87"
"21","Denmark","DEN","UEFA","true","21","2","89","89","87"
"22","Türkiye","TUR","UEFA","true","22","2","89","88","86"
"23","Ecuador","ECU","CONMEBOL","true","23","2","88","88","86"
"24","Austria","AUT","UEFA","true","24","2","88","88","86"
"25","Korea Republic","KOR","AFC","true","25","2","88","88","86"
"26","Nigeria","NGA","CAF","true","26","2","88","88","86"
"27","Australia","AUS","AFC","true","27","2","88","88","86"
"28","Algeria","ALG","CAF","true","28","2","88","87","86"
"29","Egypt","EGY","CAF","true","29","2","87","87","85"
"30","Canada","CAN","CONCACAF","true","30","2","87","87","85"
"31","Norway","NOR","UEFA","true","31","2","87","87","85"
"32","Ukraine","UKR","UEFA","true","32","2","87","87","85"
"33","Côte d'Ivoire","CIV","CAF","true","33","2","87","87","85"
"34","Panama","PAN","CONCACAF","true","34","2","87","86","84"
"35","Russia","RUS","UEFA","true","35","2","86","86","84"
"36","Poland","POL","UEFA","true","36","2","86","86","84"
"37","Wales","WAL","UEFA","true","37","2","86","86","84"
"38","Sweden","SWE","UEFA","true","38","2","86","86","84"
"39","Hungary","HUN","UEFA","true","39","2","86","85","84"
"40","Czechia","CZE","UEFA","true","40","2","86","85","84"
"41","Paraguay","PAR","CONMEBOL","true","41","2","86","85","83"
"42","Scotland","SCO","UEFA","true","42","2","85","85","83"
"43","Serbia","SRB","UEFA","true","43","2","85","85","83"
"44","Cameroon","CMR","CAF","true","44","2","85","85","83"
"45","Tunisia","TUN","CAF","true","45","2","85","84","83"
